code,title,Level
424350,Clothing and Clothing Accessories Merchant Wholesalers,6
424410,General Line Grocery Merchant Wholesalers,6
424420,Packaged Frozen Food Merchant Wholesalers,6
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,6
424440,Poultry and Poultry Product Merchant Wholesalers,6
424450,Confectionery Merchant Wholesalers,6
424460,Fish and Seafood Merchant Wholesalers,6
424470,Meat and Meat Product Merchant Wholesalers,6
424480,Fresh Fruit and Vegetable Merchant Wholesalers,6
424490,Other Grocery and Related Products Merchant Wholesalers,6
424510,Grain and Field Bean Merchant Wholesalers,6
424520,Livestock Merchant Wholesalers,6
424590,Other Farm Product Raw Material Merchant Wholesalers,6
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,6
424690,Other Chemical and Allied Products Merchant Wholesalers,6
424710,Petroleum Bulk Stations and Terminals,6
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),6
424810,Beer and Ale Merchant Wholesalers,6
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,6
424910,Farm Supplies Merchant Wholesalers,6
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",6
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",6
424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers,6
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",6
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,6
425120,Wholesale Trade Agents and Brokers,6
441110,New Car Dealers,6
441120,Used Car Dealers,6
441210,Recreational Vehicle Dealers,6
441222,Boat Dealers,6
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",6
441330,Automotive Parts and Accessories Retailers,6
441340,Tire Dealers,6
444110,Home Centers,6
444120,Paint and Wallpaper Retailers,6
444140,Hardware Retailers,6
444180,Other Building Material Dealers,6
444230,Outdoor Power Equipment Retailers,6
444240,"Nursery, Garden Center, and Farm Supply Retailers",6
445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers),6
445131,Convenience Retailers,6
445132,Vending Machine Operators,6
445230,Fruit and Vegetable Retailers,6
445240,Meat Retailers,6
445250,Fish and Seafood Retailers,6
445291,Baked Goods Retailers,6
445292,Confectionery and Nut Retailers,6
445298,All Other Specialty Food Retailers,6
445320,"Beer, Wine, and Liquor Retailers",6
449110,Furniture Retailers,6
449121,Floor Covering Retailers,6
449122,Window Treatment Retailers,6
449129,All Other Home Furnishings Retailers,6
449210,Electronics and Appliance Retailers,6
455110,Department Stores,6
455211,Warehouse Clubs and Supercenters,6
455219,All Other General Merchandise Retailers,6
456110,Pharmacies and Drug Retailers,6
456120,"Cosmetics, Beauty Supplies, and Perfume Retailers",6
456130,Optical Goods Retailers,6
456191,Food (Health) Supplement Retailers,6
456199,All Other Health and Personal Care Retailers,6
457110,Gasoline Stations with Convenience Stores,6
457120,Other Gasoline Stations,6
457210,Fuel Dealers,6
458110,Clothing and Clothing Accessories Retailers,6
458210,Shoe Retailers,6
458310,Jewelry Retailers,6
458320,Luggage and Leather Goods Retailers,6
459110,Sporting Goods Retailers,6
459120,"Hobby, Toy, and Game Retailers",6
459130,"Sewing, Needlework, and Piece Goods Retailers",6
459140,Musical Instrument and Supplies Retailers,6
459210,Book Retailers and News Dealers,6
459310,Florists,6
459410,Office Supplies and Stationery Retailers,6
459420,"Gift, Novelty, and Souvenir Retailers",6
459510,Used Merchandise Retailers,6
459910,Pet and Pet Supplies Retailers,6
459920,Art Dealers,6
